#{"t_start": 1653844795.1450188, "env_id": null}
r,l,t,taskid,success
-19.988668,20,117.697772,7,0
-19.97615,20,117.697795,7,0
-19.973236,20,117.697817,7,0
-19.974419,20,117.697846,7,0
-18.75787,20,120.432607,9,0
-2.803617,4,120.43269,9,1
-18.669014,20,122.238411,9,0
-19.163055,20,123.889407,8,0
-6.886166,9,125.326009,4,1
-8.989145,10,125.32647,5,1
0.0,1,126.021074,5,1
0.0,1,126.670873,5,1
-7.3993316,9,127.40398,9,1
-5.4156866,7,127.404061,9,1
-20.0,20,128.012633,5,0
-19.01407,20,128.705091,8,0
-0.43056753,2,128.705193,9,1
-0.90215063,2,128.705232,9,1
-19.30929,20,129.3855,8,0
-16.028936,20,130.670919,0,0
-4.0,5,131.304112,5,1
-15.357847,20,132.624408,0,0
-18.524004,20,132.624493,0,0
-16.779669,20,132.624527,0,0
-19.895748,20,132.624555,1,0
-19.963327,20,132.624581,1,0
-19.957317,20,132.624607,1,0
-19.945807,20,132.624632,1,0
-19.96728,20,132.624657,1,0
-19.958157,20,132.624682,1,0
-19.973162,20,132.624707,1,0
-19.970444,20,132.624731,1,0
-19.94639,20,132.624756,1,0
-19.959,20,132.62478,1,0
-19.963278,20,132.624805,1,0
-19.985746,20,132.624829,2,0
-19.984138,20,132.624853,2,0
-19.990458,20,132.624879,2,0
-19.98294,20,132.624947,2,0
-19.982178,20,132.624985,2,0
-19.987793,20,132.62501,2,0
-19.993006,20,132.625035,2,0
-19.981686,20,132.625059,2,0
-19.985828,20,132.625083,2,0
-19.980864,20,132.625108,2,0
-19.993961,20,132.625132,2,0
-19.990309,20,132.62516,2,0
-19.982258,20,132.625199,2,0
-19.98083,20,132.625223,2,0
-19.989,20,132.625246,2,0
-19.117117,20,132.62527,3,0
-19.159641,20,132.625294,3,0
-18.776545,20,132.625318,3,0
-20.0,20,132.625343,5,0
-15.819062,20,132.625368,6,0
-18.917196,20,132.625393,6,0
-15.745007,20,132.625418,6,0
-19.98506,20,132.625443,7,0
-19.975252,20,132.625468,7,0
-19.977482,20,132.625496,7,0
-19.988766,20,132.625522,7,0
-19.992033,20,132.625547,7,0
-19.984236,20,132.625572,7,0
-19.982645,20,132.625597,7,0
-19.986582,20,132.625622,7,0
-19.969912,20,132.625647,7,0
-19.981205,20,132.625672,7,0
-19.987392,20,132.625697,7,0
-19.969286,20,132.625722,7,0
-19.974062,20,132.625747,7,0
-19.982038,20,132.625772,7,0
-19.979256,20,132.625801,7,0
-0.9095723,2,134.560408,0,1
-18.197456,20,135.494393,9,0
-8.593635,10,137.363912,8,1
-19.326214,20,139.053279,8,0
-18.48412,20,140.693273,4,0
-8.0,9,140.693362,5,1
-9.999732,11,140.693396,5,1
-20.0,20,142.17046,5,0
-5.6411653,7,142.8946,8,1
-19.055693,20,144.146216,8,0
-15.30793,20,144.146296,9,0
-18.275377,20,144.146334,9,0
-6.0,7,145.385602,5,1
-16.32996,20,146.004241,0,0
-16.71297,20,147.898857,0,0
-16.565897,20,147.898949,0,0
-19.970827,20,147.898984,1,0
-19.966122,20,147.899011,1,0
-19.93999,20,147.899036,1,0
-19.950285,20,147.899078,1,0
-19.96642,20,147.899101,1,0
-19.933027,20,147.899124,1,0
-19.970743,20,147.899146,1,0
-19.967745,20,147.899169,1,0
-19.969912,20,147.899191,1,0
-19.91374,20,147.899214,1,0
-19.946365,20,147.899236,1,0
-19.990555,20,147.899259,2,0
-19.990007,20,147.899284,2,0
-19.987001,20,147.899308,2,0
-19.987804,20,147.89933,2,0
-19.98725,20,147.899353,2,0
-19.930012,20,147.899375,2,0
-19.984726,20,147.899398,2,0
-19.990274,20,147.89942,2,0
-19.984533,20,147.899443,2,0
-19.98776,20,147.899465,2,0
-19.991167,20,147.899487,2,0
-19.977583,20,147.89951,2,0
-19.985813,20,147.899532,2,0
-19.985754,20,147.899554,2,0
-19.98924,20,147.899579,2,0
-18.913689,20,147.899603,3,0
-13.605089,20,147.899626,3,0
-18.224611,20,147.899648,3,0
-17.83715,20,147.899673,6,0
-18.843302,20,147.899696,6,0
-18.412935,20,147.899742,6,0
-19.988823,20,147.899765,7,0
-19.986862,20,147.899786,7,0
-19.985968,20,147.89981,7,0
-19.986282,20,147.899831,7,0
-19.97962,20,147.899851,7,0
-19.970133,20,147.899872,7,0
-19.983973,20,147.899894,7,0
-19.979881,20,147.899916,7,0
-19.976673,20,147.899936,7,0
-19.987791,20,147.899956,7,0
-19.978104,20,147.899977,7,0
-19.98793,20,147.899997,7,0
-19.947508,20,147.900018,7,0
-19.98558,20,147.900039,7,0
-19.984049,20,147.900061,7,0
-17.062088,20,149.606494,0,0
-18.937471,20,150.455789,9,0
-18.873457,20,153.782016,8,0
-17.797228,20,155.187674,4,0
-20.0,20,155.187757,5,0
-20.0,20,156.612402,5,0
-19.093863,20,157.321776,8,0
-19.356781,20,158.62225,8,0
-19.876724,20,158.622333,9,0
-19.995478,20,158.622373,9,0
-19.998617,20,159.946977,5,0
-0.90817183,2,159.94707,9,1
-15.872405,20,160.5302,0,0
-17.020617,20,162.526697,0,0
-18.243105,20,162.52678,0,0
-19.959764,20,162.526818,1,0
-19.954788,20,162.526846,1,0
-19.964222,20,162.526871,1,0
-19.954857,20,162.526896,1,0
-19.963167,20,162.526921,1,0
-19.962797,20,162.526946,1,0
-19.97305,20,162.52697,1,0
-19.962149,20,162.526995,1,0
-19.941635,20,162.527019,1,0
-19.955832,20,162.527043,1,0
-19.976114,20,162.527067,1,0
-19.985882,20,162.527092,2,0
-19.977932,20,162.527116,2,0
-19.98249,20,162.52714,2,0
-19.98351,20,162.527164,2,0
-19.982697,20,162.527189,2,0
-19.99068,20,162.527213,2,0
-19.97974,20,162.527237,2,0
-19.984606,20,162.527261,2,0
-19.99522,20,162.527286,2,0
-19.985952,20,162.52731,2,0
-19.985815,20,162.527335,2,0
-19.990099,20,162.527359,2,0
-19.98548,20,162.527383,2,0
-19.98789,20,162.527407,2,0
-19.988691,20,162.527432,2,0
-16.590826,20,162.527456,3,0
-18.953632,20,162.527481,3,0
-18.626017,20,162.527505,3,0
-18.995157,20,162.527531,6,0
-18.420494,20,162.527556,6,0
-18.763702,20,162.527581,6,0
-19.973644,20,162.527607,7,0
-19.974394,20,162.527632,7,0
-19.98571,20,162.527657,7,0
-19.97138,20,162.527701,7,0
-19.984959,20,162.527741,7,0
-19.989964,20,162.527785,7,0
-19.978622,20,162.52785,7,0
-19.981253,20,162.527877,7,0
-19.975021,20,162.527917,7,0
-19.975513,20,162.527994,7,0
-19.98478,20,162.528052,7,0
-19.991209,20,162.52811,7,0
-19.973484,20,162.528168,7,0
-19.990986,20,162.528193,7,0
-19.970661,20,162.528219,7,0
-13.538015,20,164.904217,0,0
-18.060507,20,165.911945,9,0
-0.6876712,2,167.95638,9,1
-19.086885,20,170.136983,8,0
-18.067554,20,172.413744,4,0
-19.999996,20,172.413821,5,0
0.0,1,173.207417,5,1
-20.0,20,174.026997,5,0
-19.505426,20,175.011801,8,0
-19.235138,20,176.40692,8,0
-19.37028,20,176.407005,9,0
-20.0,20,177.722566,5,0
-18.557178,20,177.722655,9,0
-17.63718,20,178.545021,0,0
-1.4031683,3,178.54552,8,1
-0.8918137,2,179.282597,9,1
-2.7574582,4,179.282688,9,1
-16.056643,20,180.817267,0,0
-16.310915,20,180.817348,0,0
-19.765322,20,180.817381,1,0
-19.982052,20,180.817408,1,0
-19.950314,20,180.817434,1,0
-19.876144,20,180.817458,1,0
-19.972658,20,180.817483,1,0
-19.916185,20,180.817507,1,0
-19.90137,20,180.817531,1,0
-19.969078,20,180.817555,1,0
-19.956707,20,180.81758,1,0
-19.968481,20,180.817604,1,0
-19.89693,20,180.817628,1,0
-19.98664,20,180.817653,2,0
-19.98478,20,180.817677,2,0
-19.982533,20,180.817702,2,0
-19.98783,20,180.817727,2,0
-19.987692,20,180.817751,2,0
-19.988836,20,180.817775,2,0
-19.98625,20,180.817799,2,0
-19.985863,20,180.817823,2,0
-19.992126,20,180.817847,2,0
-19.982513,20,180.817871,2,0
-19.986687,20,180.817895,2,0
-19.977724,20,180.817919,2,0
-19.99615,20,180.817943,2,0
-19.987679,20,180.817968,2,0
-19.984484,20,180.817992,2,0
-18.838915,20,180.818016,3,0
-19.010254,20,180.818041,3,0
-18.720894,20,180.818066,3,0
-3.0,4,180.818092,5,1
-18.216852,20,180.818117,6,0
-18.265154,20,180.818142,6,0
-19.032833,20,180.818167,6,0
-19.972576,20,180.818192,7,0
-19.982222,20,180.818217,7,0
-19.989628,20,180.818242,7,0
-19.985134,20,180.818267,7,0
-19.987846,20,180.818292,7,0
-19.974277,20,180.818317,7,0
-19.974033,20,180.818342,7,0
-19.990065,20,180.818367,7,0
-19.982458,20,180.818391,7,0
-19.988747,20,180.818439,7,0
-19.983162,20,180.818463,7,0
-19.988993,20,180.818485,7,0
-19.95199,20,180.818507,7,0
-19.987938,20,180.818529,7,0
-19.985167,20,180.818551,7,0
-17.163198,20,182.739552,0,0
-18.55612,20,185.480775,9,0
-4.9389076,7,187.396448,6,1
-19.420338,20,187.396604,8,0
-11.49817,20,189.091013,4,0
-7.8147044,10,190.255201,0,1
-19.999872,20,190.255286,5,0
-1.717168,3,190.255327,8,1
0.0,1,191.137578,5,1
-20.0,20,191.137659,5,0
0.0,1,192.05382,5,1
0.0,1,192.053918,5,1
-19.089012,20,192.053967,8,0
0.0,1,192.787745,5,1
-2.0,3,194.426673,5,1
-16.227587,20,195.960233,0,0
-19.031174,20,195.960714,8,0
-17.625126,20,196.741346,9,1
-19.185867,20,196.741459,9,0
-18.018927,20,198.638928,0,0
-19.964815,20,198.639009,1,0
-19.982626,20,198.639039,1,0
-19.954596,20,198.639069,1,0
-19.948092,20,198.639094,1,0
-19.96639,20,198.639118,1,0
-19.965982,20,198.639141,1,0
-19.829014,20,198.639164,1,0
-19.977259,20,198.639186,1,0
-19.973625,20,198.639208,1,0
-19.962177,20,198.639231,1,0
-19.958166,20,198.639253,1,0
-19.993746,20,198.639276,2,0
-19.981499,20,198.639298,2,0
-19.997295,20,198.63932,2,0
-19.986448,20,198.639343,2,0
-19.996479,20,198.639369,2,0
-19.982588,20,198.639392,2,0
-19.982477,20,198.639415,2,0
-19.98575,20,198.639437,2,0
-19.987024,20,198.63946,2,0
-19.987768,20,198.639482,2,0
-19.984509,20,198.639505,2,0
-19.989613,20,198.639527,2,0
-19.988121,20,198.63955,2,0
-19.98794,20,198.639572,2,0
-19.984554,20,198.639594,2,0
-16.110903,20,198.639617,3,0
-18.83204,20,198.63964,3,0
-18.72836,20,198.639668,3,0
-4.0,5,198.639692,5,1
-19.999998,20,198.639716,5,0
-18.462683,20,198.639739,6,0
-19.185966,20,198.639763,6,0
-19.977869,20,198.639786,7,0
-19.985727,20,198.63981,7,0
-19.981293,20,198.639834,7,0
-19.982046,20,198.639857,7,0
-19.969975,20,198.639881,7,0
-19.977873,20,198.639905,7,0
-19.980827,20,198.639928,7,0
-19.97519,20,198.639952,7,0
-19.980545,20,198.639978,7,0
-19.993454,20,198.640002,7,0
