#{"t_start": 1653729806.5974, "env_id": null}
r,l,t,taskid,success
-20.0,20,75.878645,5,0
-18.791203,20,75.98127,3,0
0.0,1,75.981356,5,1
-3.0,4,76.290605,5,1
-19.0493,20,76.458343,8,0
-19.980623,20,76.610382,1,0
-19.991976,20,76.61047,2,0
-18.789333,20,76.610506,6,0
-19.98637,20,76.610537,7,0
-19.83365,20,76.896359,9,0
-19.212646,20,77.021748,0,0
-17.323381,20,77.2737,4,0
-18.865833,20,77.346889,3,0
-20.0,20,77.69991,5,0
-19.349716,20,77.854717,8,0
-19.935547,20,78.064667,1,0
-19.99092,20,78.064747,2,0
-17.80351,20,78.06478,6,0
-19.978348,20,78.064807,7,0
-19.984621,20,78.352632,9,0
-19.459425,20,78.497144,0,0
-18.47792,20,78.782908,4,0
-18.53383,20,78.841139,3,0
-20.0,20,79.026416,5,0
0.0,1,79.124985,5,1
-18.643768,20,79.228288,8,0
-19.968252,20,79.424673,1,0
-19.989807,20,79.424754,2,0
-18.957834,20,79.424793,6,0
-19.991234,20,79.424826,7,0
-18.202648,20,79.696364,9,0
-19.15489,20,79.896926,0,0
-18.537838,20,80.198679,4,0
-19.18594,20,80.269969,3,0
-19.994743,20,80.7063,5,0
0.0,1,80.808927,5,1
-19.483376,20,80.874261,8,0
-19.93749,20,81.145245,1,0
-19.988258,20,81.145329,2,0
-3.0,4,81.145364,5,1
-18.266865,20,81.145392,6,0
-19.98489,20,81.145429,7,0
-19.755274,20,81.432183,9,0
-18.737398,20,81.570629,0,0
-18.278713,20,81.851683,4,0
-18.587439,20,81.934428,3,0
-19.184486,20,82.519859,8,0
-19.965416,20,82.723007,1,0
-19.989292,20,82.723091,2,0
-20.0,20,82.723127,5,0
-18.283556,20,82.723157,6,0
-19.991276,20,82.723194,7,0
-19.914042,20,82.965787,9,0
-18.498098,20,83.117113,0,0
-18.452803,20,83.285465,4,0
-19.250525,20,83.388572,3,0
-19.486506,20,83.835355,8,0
-19.971508,20,83.989344,1,0
-19.997877,20,83.989427,2,0
-20.0,20,83.989462,5,0
-19.24995,20,83.989491,6,0
-19.984247,20,83.989527,7,0
-19.888319,20,84.399773,9,0
-11.29632,20,84.562434,0,0
-18.487097,20,84.804862,4,0
-18.926489,20,84.887521,3,0
-19.372,20,85.26403,8,0
-19.969261,20,85.479407,1,0
-19.990383,20,85.479485,2,0
-20.0,20,85.479522,5,0
-19.015673,20,85.479552,6,0
-19.982113,20,85.479581,7,0
-18.133902,20,85.929812,9,0
-18.142296,20,86.08059,0,0
-18.40273,20,87.152054,4,0
-14.928621,20,87.298966,3,0
-19.197569,20,87.868875,8,0
-19.981634,20,88.139668,1,0
-19.990623,20,88.139753,2,0
-20.0,20,88.139789,5,0
-18.738546,20,88.139817,6,0
-19.986397,20,88.139845,7,0
-18.472715,20,88.355849,9,0
-18.934467,20,88.513109,0,0
-18.237808,20,88.840542,4,0
-19.20799,20,88.910364,3,0
-18.887396,20,89.455708,8,0
-19.966358,20,89.632879,1,0
-19.984308,20,89.63297,2,0
-20.0,20,89.63301,5,0
-19.171417,20,89.633044,6,0
-19.984104,20,89.633076,7,0
-19.874466,20,89.892781,9,0
-18.204046,20,90.067118,0,0
-4.0,5,90.067206,5,1
-18.51368,20,90.410451,4,0
-16.133738,20,90.504705,3,0
-5.0,6,90.605985,5,1
-18.960934,20,91.063142,8,0
-19.934351,20,91.416727,1,0
-19.990278,20,91.416801,2,0
-16.72607,20,91.416833,6,0
-19.98873,20,91.41686,7,0
-18.253906,20,91.662503,9,0
-17.891098,20,91.790473,0,0
0.0,1,91.883117,0,1
-18.581577,20,92.050659,4,0
-18.908617,20,92.121464,3,0
-20.0,20,92.186407,5,0
-19.364029,20,92.519414,8,0
-19.970884,20,92.795252,1,0
-19.988432,20,92.795329,2,0
-19.325745,20,92.795363,6,0
-19.981968,20,92.79539,7,0
-19.997286,20,93.19261,9,0
-18.132767,20,93.530483,0,0
-18.537582,20,93.749647,4,0
-19.250486,20,93.830525,3,0
-20.0,20,93.899245,5,0
-18.769806,20,94.315015,8,0
-19.971157,20,94.5161,1,0
-19.991016,20,94.516172,2,0
-18.848232,20,94.516204,6,0
-19.97263,20,94.516231,7,0
-18.336252,20,94.748073,9,0
-14.97553,20,95.005869,0,0
-18.520435,20,95.365011,4,0
-15.759318,20,95.441502,3,0
-20.0,20,95.658257,5,0
-10.67047,13,96.37612,9,1
-19.475496,20,96.579463,8,0
-19.969296,20,96.958226,1,0
-19.993227,20,96.958315,2,0
-18.878063,20,96.958384,6,0
-19.966166,20,96.958421,7,0
-19.303059,20,97.657828,0,0
-17.730171,20,97.892116,4,0
-18.589605,20,97.944572,3,0
-20.0,20,98.037978,5,0
-2.0,3,98.277354,5,1
-18.66295,20,98.391288,9,0
-19.14981,20,98.466863,8,0
-0.9020346,2,98.577048,9,1
-19.967554,20,98.733679,1,0
-19.989288,20,98.733762,2,0
-18.278635,20,98.733795,6,0
-19.986223,20,98.733824,7,0
-7.0,8,98.920635,5,1
-16.857222,20,99.161729,0,0
-18.493284,20,99.370336,4,0
-18.586708,20,99.442482,3,0
-19.404942,20,99.842531,8,0
-19.978657,20,99.918514,9,0
-0.93612957,2,100.078654,8,1
-19.982056,20,100.161691,1,0
-19.988249,20,100.161763,2,0
-17.705626,20,100.161795,6,0
-19.982828,20,100.161822,7,0
-20.0,20,100.310952,5,0
-18.926664,20,100.55345,0,0
-18.487436,20,100.684436,4,0
-19.066275,20,100.741106,3,0
-19.158354,20,101.18091,9,0
-19.425652,20,101.289541,8,0
-19.95575,20,101.407129,1,0
-19.986164,20,101.407209,2,0
-18.857489,20,101.407253,6,0
-19.970299,20,101.407282,7,0
-19.896263,20,101.700634,5,0
0.0,1,101.793483,5,1
0.0,1,101.869717,5,1
0.0,1,101.97289,5,1
-18.125341,20,102.062753,0,0
-1.9997005,3,102.289529,5,1
-18.316744,20,102.381478,4,0
0.0,1,102.381561,5,1
-17.953983,20,102.443507,3,0
-2.734739,4,102.739345,4,1
-18.128977,20,103.148989,9,0
-19.141521,20,103.244165,8,0
-19.9755,20,103.334847,1,0
-19.993494,20,103.334927,2,0
-18.974123,20,103.334961,6,0
-19.977268,20,103.33499,7,0
-15.12624,20,103.735986,0,0
-20.0,20,103.879271,5,0
-18.048122,20,103.946467,3,0
-18.376734,20,104.176555,4,0
-19.903276,20,104.483061,9,0
-19.421122,20,104.545773,8,0
-19.962328,20,104.618503,1,0
-19.997444,20,104.618583,2,0
-19.3358,20,104.618615,6,0
-19.98631,20,104.618643,7,0
-1.9090765,3,104.927652,8,1
-19.142374,20,105.152953,0,0
-19.99999,20,105.303484,5,0
-19.255085,20,105.357088,3,0
-18.111336,20,105.696232,4,0
-19.073158,20,106.025912,9,0
-19.97845,20,106.158739,1,0
-19.9854,20,106.158841,2,0
-19.223007,20,106.15889,6,0
-19.978542,20,106.158919,7,0
-19.429512,20,106.4044,8,0
-18.067654,20,106.701332,0,0
-20.0,20,106.850398,5,0
-14.778866,20,106.930228,3,0
-18.023422,20,107.152383,4,0
-7.0,8,107.42407,5,1
0.0,1,107.541686,5,1
-19.981314,20,107.541777,9,0
-19.945982,20,107.704727,1,0
-19.989393,20,107.704814,2,0
-19.199907,20,107.704849,6,0
-19.982958,20,107.704879,7,0
-19.560352,20,107.89769,8,0
-17.218683,20,108.340149,0,0
-18.80857,20,108.6365,3,0
-18.487104,20,108.872593,4,0
-20.0,20,109.315286,5,0
-19.784235,20,109.315362,9,0
-19.978197,20,109.498794,1,0
-19.992699,20,109.498862,2,0
-19.310408,20,109.498897,6,0
-19.98717,20,109.498926,7,0
-1.7901425,3,109.632968,9,1
-18.197512,20,109.70747,8,0
-3.9999752,5,109.808541,5,1
-18.38417,20,110.08055,0,0
-3.8716557,5,110.080629,9,1
-19.190119,20,110.334634,3,0
-17.578758,20,110.520333,4,0
-19.979626,20,110.839498,1,0
-19.996342,20,110.839584,2,0
-19.158674,20,110.839621,6,0
-19.97511,20,110.83965,7,0
-19.548622,20,111.015901,8,0
-20.0,20,111.091091,5,0
-14.60855,20,111.355729,0,0
-19.823717,20,111.355811,9,0
-17.885735,20,111.689541,3,0
-18.341461,20,111.934044,4,0
-19.970596,20,112.234168,1,0
-19.98745,20,112.234253,2,0
-18.213356,20,112.234288,6,0
-19.99189,20,112.234316,7,0
-19.580051,20,112.390185,8,0
-19.913475,20,112.463374,5,0
-18.504059,20,112.694318,0,0
-18.507853,20,112.694405,9,0
-2.927947,4,112.809618,5,1
-19.244358,20,113.046982,3,0
-18.515383,20,113.265159,4,0
